question|fortune
Did Jerry Brown win the California gubernatorial election ?|Outlook good
Did Jerry Brown lose the California gubernatorial election ?|Signs point to yes
Will John Hickenlooper become the Colorado governor ?|Concentrate and ask again
Will Deval Patrick become the Colorado governor ?|Without a doubt
Did John Hickenlooper become the Colorado governor ?|Yes
Did Jim Inhofe become the Colorado governor ?|Yes
Did John Hickenlooper win the Colorado gubernatorial election ?|Very doubtful
Will John Hickenlooper win the Colorado gubernatorial election ?|Reply hazy, try again
Did John Hickenlooper lose the Colorado gubernatorial election ?|Reply hazy, try again
Will John Hickenlooper lose the Colorado gubernatorial election ?|Outlook not so good
Will Dan Malloy become the Connecticut governor ?|Without a doubt
Did Dan Malloy become the Connecticut governor ?|Better not tell you now
Did Dan Malloy win the Connecticut gubernatorial election ?|Outlook good
Did Dan Malloy lose the Connecticut gubernatorial election ?|Signs point to yes
Will Rick Scott become the Florida governor ?|Yes
Will Lincoln Chafee become the Florida governor ?|Without a doubt
Did Rick Scott become the Florida governor ?|Outlook not so good
Did Brian Sandoval become the Florida governor ?|Better not tell you now
Did Rick Scott win the Florida gubernatorial election ?|Without a doubt
Did Pat Roberts win the Florida gubernatorial election ?|Better not tell you now
Will Rick Scott win the Florida gubernatorial election ?|Better not tell you now
Did Rick Scott lose the Florida gubernatorial election ?|Better not tell you now
Will Rick Scott lose the Florida gubernatorial election ?|It is decidedly so
Will Neil Abercrombie become the Hawaii governor ?|Reply hazy, try again
Did Neil Abercrombie become the Hawaii governor ?|Without a doubt
Will Butch Otter become the Idaho governor ?|Outlook not so good
Did Butch Otter become the Idaho governor ?|It is decidedly so
Will Pat Quinn become the Illinois governor ?|Yes
Will Mark Warner become the Illinois governor ?|My reply is no
Did Pat Quinn become the Illinois governor ?|Outlook not so good
Did Dennis Daugaard become the Illinois governor ?|Reply hazy, try again
Did Pat Quinn win the Illinois gubernatorial election ?|Without a doubt
Did Pat Quinn lose the Illinois gubernatorial election ?|Better not tell you now
Will Sam Brownback become the Kansas governor ?|My reply is no
Will Ed Markey become the Kansas governor ?|It is decidedly so
Did Sam Brownback become the Kansas governor ?|Without a doubt
Did Mark Warner become the Kansas governor ?|Outlook not so good
Did Sam Brownback win the Kansas gubernatorial election ?|It is decidedly so
Did Sam Brownback lose the Kansas gubernatorial election ?|Cannot predict now
Will Paul LePage become the Maine governor ?|Outlook not so good
Did Paul LePage become the Maine governor ?|It is decidedly so
Did Kay Hagan become the Maine governor ?|My sources say no
Did Paul LePage win the Maine gubernatorial election ?|You may rely on it
Will Paul LePage win the Maine gubernatorial election ?|Without a doubt
Did Paul LePage lose the Maine gubernatorial election ?|Without a doubt
Will Paul LePage lose the Maine gubernatorial election ?|Better not tell you now
Will Martin O ' Malley become the Maryland governor ?|Concentrate and ask again
Will Dennis Daugaard become the Maryland governor ?|Outlook good
Did Martin O ' Malley become the Maryland governor ?|Yes
Will John Kitzhaber win the Maryland gubernatorial election ?|Reply hazy, try again
Will Deval Patrick become the Massachusetts governor ?|You may rely on it
Did Deval Patrick become the Massachusetts governor ?|Concentrate and ask again
Did Mark Udall become the Massachusetts governor ?|Reply hazy, try again
Will Rick Snyder become the Michigan governor ?|My reply is no
Will Mike Johanns become the Michigan governor ?|Better not tell you now
Did Rick Snyder become the Michigan governor ?|Without a doubt
Did Mary Landrieu become the Michigan governor ?|Better not tell you now
Did Rick Snyder win the Michigan gubernatorial election ?|It is decidedly so
Did Deval Patrick win the Michigan gubernatorial election ?|Outlook good
Will Rick Snyder win the Michigan gubernatorial election ?|Cannot predict now
Will Bill Haslam win the Michigan gubernatorial election ?|Cannot predict now
Did Rick Snyder lose the Michigan gubernatorial election ?|Cannot predict now
Will Rick Snyder lose the Michigan gubernatorial election ?|Outlook good
Will Dave Heineman become the Nebraska governor ?|Without a doubt
Will Brian Sandoval become the Nebraska governor ?|Reply hazy, try again
Did Dave Heineman become the Nebraska governor ?|Better not tell you now
Will Brian Sandoval become the Nevada governor ?|Better not tell you now
Will John Kitzhaber become the Nevada governor ?|Better not tell you now
Did Brian Sandoval become the Nevada governor ?|My reply is no
Did Mitch McConnell become the Nevada governor ?|Better not tell you now
Did Brian Sandoval win the Nevada gubernatorial election ?|Cannot predict now
Will Brian Sandoval win the Nevada gubernatorial election ?|Outlook good
Did Brian Sandoval lose the Nevada gubernatorial election ?|Outlook good
Will Brian Sandoval lose the Nevada gubernatorial election ?|Signs point to yes
Will Maggie Hassan become the New Hampshire governor ?|You may rely on it
Will Pat Roberts become the New Hampshire governor ?|Yes
Did Maggie Hassan become the New Hampshire governor ?|Concentrate and ask again
Did Jay Rockefeller become the New Hampshire governor ?|Without a doubt
Will Andrew Cuomo become the New York governor ?|Better not tell you now
Will Butch Otter become the New York governor ?|My reply is no
Did Andrew Cuomo become the New York governor ?|My reply is no
Did Andrew Cuomo win the New York gubernatorial election ?|Cannot predict now
Will Andrew Cuomo win the New York gubernatorial election ?|Outlook good
Will Rick Scott win the New York gubernatorial election ?|It is decidedly so
Did Andrew Cuomo lose the New York gubernatorial election ?|Outlook good
Will Andrew Cuomo lose the New York gubernatorial election ?|Signs point to yes
Will John Kasich become the Ohio governor ?|It is decidedly so
Will Mike Enzi become the Ohio governor ?|My sources say no
Did John Kasich become the Ohio governor ?|Yes – definitely
Did John Kasich win the Ohio gubernatorial election ?|Concentrate and ask again
Will John Kasich win the Ohio gubernatorial election ?|You may rely on it
Did John Kasich lose the Ohio gubernatorial election ?|You may rely on it
Will John Kasich lose the Ohio gubernatorial election ?|Without a doubt
Will Mary Fallin become the Oklahoma governor ?|My reply is no
Will Matt Mead become the Oklahoma governor ?|Yes
Did Mary Fallin become the Oklahoma governor ?|Without a doubt
Did Deval Patrick become the Oklahoma governor ?|Better not tell you now
Did Mary Fallin win the Oklahoma gubernatorial election ?|It is decidedly so
Will Mary Fallin win the Oklahoma gubernatorial election ?|Cannot predict now
Will Ed Markey win the Oklahoma gubernatorial election ?|Better not tell you now
Did Mary Fallin lose the Oklahoma gubernatorial election ?|Cannot predict now
Will Mary Fallin lose the Oklahoma gubernatorial election ?|Outlook good
Will John Kitzhaber become the Oregon governor ?|Better not tell you now
Will Rick Scott become the Oregon governor ?|Outlook not so good
Did John Kitzhaber become the Oregon governor ?|My reply is no
Did Neil Abercrombie become the Oregon governor ?|Without a doubt
Did John Kitzhaber win the Oregon gubernatorial election ?|Cannot predict now
Will John Kitzhaber win the Oregon gubernatorial election ?|Outlook good
Did John Kitzhaber lose the Oregon gubernatorial election ?|Outlook good
Will John Kitzhaber lose the Oregon gubernatorial election ?|Signs point to yes
Will Tom Corbett become the Pennsylvania governor ?|Outlook good
Will Mark Udall become the Pennsylvania governor ?|Reply hazy, try again
Did Tom Corbett become the Pennsylvania governor ?|Reply hazy, try again
Did Jack Reed become the Pennsylvania governor ?|Better not tell you now
Did Tom Corbett win the Pennsylvania gubernatorial election ?|Reply hazy, try again
Will Tom Corbett win the Pennsylvania gubernatorial election ?|Cannot predict now
Did Tom Corbett lose the Pennsylvania gubernatorial election ?|Cannot predict now
Will Tom Corbett lose the Pennsylvania gubernatorial election ?|Very doubtful
Will Nikki Haley become the South Carolina governor ?|Concentrate and ask again
Will Mark Pryor become the South Carolina governor ?|Yes
Did Nikki Haley become the South Carolina governor ?|Yes
Did Matt Mead become the South Carolina governor ?|Reply hazy, try again
Did Nikki Haley lose the South Carolina gubernatorial election ?|Reply hazy, try again
Will Nikki Haley lose the South Carolina gubernatorial election ?|Outlook not so good
Will Dennis Daugaard become the South Dakota governor ?|Without a doubt
Will Terry Branstad become the South Dakota governor ?|You may rely on it
Did Dennis Daugaard become the South Dakota governor ?|You may rely on it
Did Mike Enzi become the South Dakota governor ?|Better not tell you now
Did Dennis Daugaard lose the South Dakota gubernatorial election ?|Without a doubt
Will Dennis Daugaard lose the South Dakota gubernatorial election ?|Without a doubt
Will Bill Haslam become the Tennessee governor ?|Better not tell you now
Will Lamar Alexander become the Tennessee governor ?|Yes
Did Bill Haslam become the Tennessee governor ?|My reply is no
Did Tim Johnson become the Tennessee governor ?|My reply is no
Did Bill Haslam win the Tennessee gubernatorial election ?|Cannot predict now
Will Bill Haslam win the Tennessee gubernatorial election ?|Outlook good
Did Bill Haslam lose the Tennessee gubernatorial election ?|Outlook good
Will Bill Haslam lose the Tennessee gubernatorial election ?|Signs point to yes
Will Peter Shumlin become the Vermont governor ?|Better not tell you now
Will Chris Coons become the Vermont governor ?|Without a doubt
Did Peter Shumlin become the Vermont governor ?|My reply is no
Did Scott Walker become the Vermont governor ?|Without a doubt
Will Scott Walker become the Wisconsin governor ?|Without a doubt
Will Andrew Cuomo become the Wisconsin governor ?|Without a doubt
Did Scott Walker become the Wisconsin governor ?|Better not tell you now
Did Richard Durbin become the Wisconsin governor ?|Reply hazy, try again
Did Scott Walker win the Wisconsin gubernatorial election ?|Outlook good
Will Scott Walker win the Wisconsin gubernatorial election ?|Signs point to yes
Did Scott Walker lose the Wisconsin gubernatorial election ?|Signs point to yes
Will Scott Walker lose the Wisconsin gubernatorial election ?|Reply hazy, try again
Will Matt Mead become the Wyoming governor ?|Outlook not so good
Will Thad Cochran become the Wyoming governor ?|My reply is no
Did Matt Mead become the Wyoming governor ?|It is decidedly so
Did Matt Mead win the Wyoming gubernatorial election ?|You may rely on it
Will Matt Mead win the Wyoming gubernatorial election ?|Without a doubt
Did Matt Mead lose the Wyoming gubernatorial election ?|Without a doubt
Will Matt Mead lose the Wyoming gubernatorial election ?|Better not tell you now
Can I file bankruptcy under Chapter 9, 12 or 15?|Better not tell you now
Am I eligible for the Parenting Payment?|Very doubtful
Am I eligible for a Tier 4 (General) student visa?|Reply hazy, try again
Do I need a supplier document?|Better not tell you now
Am I eligible for the SBA 7(a) program?|Most likely
Can I get in-work Housing Benefit?|Ask again later
Can I claim this expense?|My sources say no
Can I get Public Housing?|My sources say no
Can I take my pension in one go?|Without a doubt
Can this benefit be reduced or stopped?|Most likely
Do I need to claim the new State Pension?|My sources say no
Do I need to apply for an EAD?|Better not tell you now
Can I get Winter Fuel Payment?|Better not tell you now
Can I use Aged Care Online Claiming?|Don’t count on it
Can I apply for Tier 4 student visa for this course?|Yes
Can I claim my State Pension abroad?|Don’t count on it
Am I eligible for the loan?|Reply hazy, try again
Can I get cash assistance from TANF?|Don’t count on it
May I qualify for VA health care benefits?|Yes – definitely
Can the regular amount of benefit I get be reduced?|Outlook good
Can I apply to use Centrepay?|Better not tell you now
Is the 7(a) loan program for me?|Without a doubt
Can the VA help me with this purchase?|Outlook not so good
Can I claim and deal with tax credits for this person?|You may rely on it
Do I qualify for this benefit program?|Outlook not so good
Can I get Crisis Payment?|My sources say no
Do I need to carry on paying National Insurance?|Better not tell you now
Do I need to ask patients for their bank account details?|It is decidedly so
Do I need a certificate or to follow special rules to export this product?|Concentrate and ask again
Am I able to apply directly to my electricity supplier for help?|Reply hazy, try again
Is this program suitable for me?|Without a doubt
Is this loan suitable for me?|Better not tell you now
Can I call Debt Management Recovery From Estates now?|Concentrate and ask again
Should I apply for this card?|Better not tell you now
Can I inherit my spouse's State Pension?|Very doubtful
Do I need to register for Aged Care Online Services?|Yes
May I receive VA benefits and services?|Most likely
Do I qualify for the extra Savings Credit?|Yes – definitely
Am I committing benefit fraud?|Better not tell you now
Am I able to claim the new State Pension?|My sources say no
Can my Business use Centrepay?|Better not tell you now
Do I qualify for Guarantee Credit?|Ask again later
Is a collateral required?|My sources say no
Can I export this product to North Korea?|My sources say no
Is my licence valid?|You may rely on it
Can this program assist me?|Reply hazy, try again
Am I allowed to work permanently in the United States?|You may rely on it
May I be able to get Child Tax Credit?|Outlook not so good
Can the interet rate be fixed?|Better not tell you now
Can I claim bereavement benefits?|Cannot predict now
Can I apply for Tier 4 student visa?|Don’t count on it
Can I use the Capital Gains Tax calculator?|It is decidedly so
Do I have to pay tax?|As I see it, yes
Can I qualify for Working Tax Credit?|Concentrate and ask again
Am I eligible for 16 to 19 Bursary Fund?|Very doubtful
Am I eligible for this program?|It is certain
Can I be a designated provider for this person?|My reply is no
Am I eligible for Fares Allowance?|Ask again later
Can I use the loan for this expense?|Don’t count on it
Does this loan meet my needs?|Better not tell you now
Is this a digital service?|Most likely
Can I apply to bring a dependant to the UK?|It is decidedly so
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?|You may rely on it
Do I need to tell  the office dealing with my benefit about this?|Outlook not so good
Can openings be available to me?|Without a doubt
Do I qualify for this program?|Better not tell you now
Is this a legal commerical airport?|Better not tell you now
Am I entitled to the correct minimum wage|My sources say no
Can I backdate this claim?|Most likely
Am I entitled to the correct minimum wage for my age?|Concentrate and ask again
Am I eligible to claim Child Tax Credit?|Very doubtful
Do I have authority to lodge data for file upload?|Reply hazy, try again
Do I qualify for Working Tax Credit?|Don’t count on it
Do I still have to pay National Insurance?|Yes – definitely
Do I have authority to view latest and historical payment statements for the nominated service?|Better not tell you now
Do I need to provide a proof of ownership?|Yes – definitely
Am I entitled to the apprentice rate?|Concentrate and ask again
Do I qualify for assistance?|Yes – definitely
Can Educational and Career Counseling help me?|Without a doubt
Am I eligible?|Yes – definitely
Do I have the right to return to my job?|Very doubtful
Do I need a Human Services PKL certificate?|It is decidedly so
Can I get a low-interest loan towards my deposit?|Without a doubt
Can I get Working Tax Credit?|Better not tell you now
Am I allowed to purchase marijuana plants?|Yes – definitely
Can I ask for mandatory reconsideration for this benefit?|It is decidedly so
Am I entitled to the National Minimum Wage?|It is decidedly so
Can send the application now?|Better not tell you now
Will there be any change to the rights and status of me?|Better not tell you now
Can I claim my Medicare benefit?|Without a doubt
Can I deal with the tax credits of someone?|It is decidedly so
Can I apply for a discount?|Reply hazy, try again
Does this program meet my needs?|Without a doubt
Can I get help about ‘interviews under caution’ from this organisation?|Don’t count on it
Can I access the Aged Care Online Services in my browser?|It is decidedly so
Can my payments go up?|You may rely on it
Can I apply for a Tier 4 (General) student visa?|Better not tell you now
Will my basic State Pension will be more than £122.30 per week?|Very doubtful
Will I get up to £2010?|Signs point to yes
Can I use the market value of the property when working out my gain?|Very doubtful
Can I consume this marijuana?|Better not tell you now
Will I get the National Minimum Wage?|Concentrate and ask again
Am I an independent contractor?|It is certain
Are my employee rights affected?|Without a doubt
Can my au pair be classified as a worker?|My sources say no
Will I be asked questions by this person?|My sources say no
Do I need a licence to export these chemicals?|Without a doubt
Do I need to use TRACES to create a commercial document?|Better not tell you now
Could the adult dependency increase I receive stop?|Outlook good
Can I apply?|Reply hazy, try again
Could I be able to stay longer to continue my course?|Concentrate and ask again
Will I be told to pay back the overpaid money?|Without a doubt
Can I contact the Independent Adjudicator?|Yes – definitely
Can I apply for Youth allowance?|Without a doubt
Can I get Cold Weather Payments?|Without a doubt
Is a myRA suitable for me?|Most likely
Do I pay a fee of 1.75% of the loan’s value?|Outlook not so good
Should I apply for the economic injury disaster loan?|Concentrate and ask again
Do I need to contact the office?|Without a doubt
Can Tax Credit Office ask me to provide details of the day-to-day running of my business?|Without a doubt
Can I call the helpline now?|Yes – definitely
Do I qualify for this benefit?|Better not tell you now
Am I in Priority Group 1-3?|Reply hazy, try again
Can I add the cost of this improvement to my loan amount?|It is decidedly so
Can some of my benefit stop?|Yes – definitely
Am I an appointee?|As I see it, yes
Can I be made redundant?|My sources say no
Am I considered Veteran?|My sources say no
Can my benefit be reduced or stopped?|Concentrate and ask again
Does this insurance cover this Veteran?|Most likely
Can I export germplasm?|Signs point to yes
Do I need to register?|You may rely on it
Can I get SMP?|Yes – definitely
Am I eligible for this benefit program?|Most likely
Are there special rules for calculating my gain?|Better not tell you now
Do I have to pay SE tax and file Schedule SE?|Yes
Do I need to apply for an initial Medicare provider number?|Outlook good
Do I qualify for Winter Fuel Payment?|Concentrate and ask again
Can this benefit reduced or stopped?|Don’t count on it
Do I qualify for relief for most of the time I live away|Better not tell you now
Can I get vulnerable student bursary?|Concentrate and ask again
Can the loan be guaranteed?|Reply hazy, try again
Am I eligible ?|Most likely
Can I contact the Tax Credit Office?|Don’t count on it
Is this a cultural good?|My sources say no
Is it my responsibility to contact the office in this situation?|Reply hazy, try again
Can my patient claim their Medicare benefit electronically at my surgery?|Yes
Can I get a CAS?|My reply is no
Can I get SSP?|Yes – definitely
Can I upload the attachment?|Yes – definitely
Can I take paternity leave?|Reply hazy, try again
Can I obtain an NADL?|As I see it, yes
Does the SBA loan meet my needs?|Without a doubt
Can ALE help this organisation?|It is certain
Can this payment be stopped or reduced?|Most likely
Can I register for VAT voluntarily?|Better not tell you now
Will I have to pay more tax than I've paid?|It is decidedly so
Does this guide apply to me?|Yes – definitely
Can I export this product?|Most likely
Can I export this plant?|My sources say no
Can I apply to extend my leave to study?|Very doubtful
Can I get the full basic State Pension?|Most likely
Will my session automatically log out?|Outlook not so good
Could I get Cold Weather Payments?|Ask again later
Can I be considered as a licensed marijuana producer?|Concentrate and ask again
Can I access Aged Care Online Services?|Most likely
Am I considered an active duty member?|Outlook not so good
Can I apply to this program?|Yes – definitely
Could I inherit part of my deceased partner’s Additional State Pension?|Don’t count on it
Is the SBIC program suitable for me?|Don’t count on it
Do I have to share a bedroom?|Better not tell you now
Can I qualify for a Winter Fuel Payment?|Very doubtful
Do I have to pay tax on the whole lump sum?|It is decidedly so
Could I be charged a penalty?|Better not tell you now
Can I move livestock or poultry?|Without a doubt
Can I claim online?|It is decidedly so
Can I increase my basic State Pension?|Outlook not so good
Can I make a new claim for Working Tax Credit?|Without a doubt
Does my child qualify for this benefit program?|My reply is no
Does tax relief apply to this?|Better not tell you now
Can I receive Clothing allowance?|Cannot predict now
Can I get the 'top up'?|Signs point to yes
Can I reclaim the VAT?|You may rely on it
Is outpatient dental treatment available to me?|My reply is no
Are there special rules for exporting these chemicals?|You may rely on it
Do these benefits apply to me?|Better not tell you now
Does this payment count as paid work?|Concentrate and ask again
Can I increase a deduction?|Reply hazy, try again
Does the loan meet my needs?|Yes – definitely
Am I eligible for Working Tax Credit?|Concentrate and ask again
Can I get a health certificate?|It is certain
Can my benefits be affected?|Yes – definitely
Can I inherit half of my partner’s protected payment?|Concentrate and ask again
Can I get IIDB?|Most likely
Do I need to wear protective headgear?|Outlook not so good
Would I have to pay estimated tax?|Ask again later
Can this fund compensate my losses?|Better not tell you now
Could I claim help for my childcare costs?|Yes – definitely
Can I use the same certificate?|It is certain
Can I get Universal Credit and Housing Benefit at the same time?|Reply hazy, try again
Can my Business make use of Centrepay?|Outlook not so good
May I be able to get tax credits?|Cannot predict now
Can I be classified as a worker?|Without a doubt
Can I be a borrower?|You may rely on it
Do I need to get consent for schedule services?|My reply is no
Can this program help me?|My sources say no
Can I provide this document?|Yes – definitely
Do I have authority to view care recipient information?|Without a doubt
Will ABSTUDY help with housing?|It is certain
Do I have to register for VAT with HM Revenue and Customs (HMRC)?|Outlook not so good
Do I need a certificate to move this medical device?|Yes
Do I need to pay UK tax on income or gains?|It is decidedly so
Do I need a plant passport?|Reply hazy, try again
Do I need to wear a seat belt?|Better not tell you now
Do I need to have a health certificate?|Most likely
Am I eligible for the Pensioner Education Supplement?|Concentrate and ask again
Can I claim SMP?|My reply is no
Can I claim in advance?|Signs point to yes
Can I get tax relief?|As I see it, yes
Can I charge VAT on this?|My sources say no
Can I appoint a nominee?|My sources say no
Do I have to Capital Gains Tax?|It is certain
Am I eligible to enrol?|Signs point to yes
Do need to tell HM Revenue and Customs about this?|Reply hazy, try again
Can I apply for a regular deduction?|Don’t count on it
Will my right to maternity be affected?|Most likely
Can I be considered for this program?|Concentrate and ask again
Can I appea to the tribunal?|Yes – definitely
Can I get Rent Assistance?|Most likely
Can it be paid to my dependent?|It is certain
May I be able to get Working Tax Credi?|Most likely
Can I get tax credits?|You may rely on it
Am I responsible for paying back overpayments?|Without a doubt
Have I commited benefit fraud?|Better not tell you now
Do I need to pay National Insurance?|Don’t count on it
Can I apply to become a tax credit appointee?|Yes
Can I ge the full amount?|My sources say no
Will I inherit the top up as part of my spouse's Additional State Pension?|Concentrate and ask again
Can I get a plant health certificate?|Concentrate and ask again
May I have to pay tax when selling my property?|My reply is no
Can I inherit up to 100% of my spouse's SERPS pension?|You may rely on it
Can I be classed as doing voluntary work?|My sources say no
Am I allowed to authorize the use of marijuana?|My reply is no
Is this income suitable for me?|It is certain
Will I automatically be paid the higher benefit when I reach the threshold?|Very doubtful
Can my partner and I claim working tax credit?|Without a doubt
Do I need to post the form VAT1A?|Cannot predict now
Can CentrePay help my Business reduce this cost?|Better not tell you now
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?|It is certain
Could I be considered as an employer?|Concentrate and ask again
Is this child a dependent child?|Without a doubt
Can I take everything I have in my defined benefit pension?|Outlook good
Can I get Guardian’s Allowance?|It is certain
Am I entitled to getting the National Minimum Wage?|Outlook good
Can I pay for other costs through Centrepay?|Outlook not so good
Do I need to register for VAT in this country?|Without a doubt
Do I have to file an annual income tax return for my business?|Cannot predict now
Can I obtain an LDP?|You may rely on it
Could my State Pension be affected?|Better not tell you now
Do I need to follow special rules to export this?|Without a doubt
Can I use the Centrelink Business Online Services today?|Better not tell you now
Can this fund help me?|You may rely on it
Can my tax credit go up or down?|Without a doubt
Can I use the minimum wage calculator?|Outlook not so good
Can I be an individual borrower?|Without a doubt
Could I be entitled to take Shared Parental Leave?|Reply hazy, try again
Should I read the Credit Representatives Policy?|Better not tell you now
Could I get less than the new full State Pension?|Without a doubt
Can my other benefits be reduced?|Cannot predict now
Have I contributed through my National Insurance contributions?|Very doubtful
Can I get an additional one-year period after enactment to enroll for VA health care?|Most likely
Can I have a cooperative in this location?|Yes – definitely
Can I export this?|As I see it, yes
Can I get contribution-based ESA?|Cannot predict now
Can I keep the full amount of Age Pension?|Yes – definitely
Can this decision be reconsidered?|Ask again later
Can I grow up to 15 plants?|Reply hazy, try again
Have I logged out properly?|Reply hazy, try again
Am I eligible for this benefit?|It is certain
Will I be contacted by the Department for Work and Pensions (DWP)?|Without a doubt
Am I able to take all the money in my pension as a tax-free lump sum?|It is decidedly so
Can my friend deal with you on my behalf?|My sources say no
May I be eligible for this program?|Better not tell you now
Can this farmer get a credit from the FSA farm loan program?|Signs point to yes
Can I export livestock or poultry?|Ask again later
Do I need permission to export this drug?|My sources say no
Can this organisation claim back the tax I have paid on my donation?|Very doubtful
Is this land eligible for agricultural easements?|Without a doubt
Is this airport manager performing all their duties?|Yes
Am I eligible for paternity pay?|Without a doubt
Can I move these plants?|My sources say no
Can I ask HM Revenue and Customs (HMRC) to cancel my registration?|Without a doubt
Can I submit claims using Aged Care Online Claiming?|Yes
Can I apply for Tier 4 student visa now?|Very doubtful
Can I nominate to be an authorised representative for my mother?|Reply hazy, try again
Can I inherit my spouse’s Additional State Pension?|Outlook good
Do I have to wear a bicycle helmet?|Better not tell you now
Can I charge or show VAT on my invoices?|Very doubtful
Is the Centrepay support service available right now?|Concentrate and ask again
Can I have free brochures this year?|Don’t count on it
Do I have to do a data cleansing and synchronisation exercise?|Cannot predict now
Am I self-employed?|It is decidedly so
Can I continue to get Savings Credit?|Concentrate and ask again
Can I apply for a higher rate of Family Tax Benefit Part B?|Outlook good
Could my tax-free allowance increase?|Concentrate and ask again
Am I subject to Self-Employment Tax?|Don’t count on it
Can my tax credit be affected?|Better not tell you now
Am I eligible for EIDL?|Signs point to yes
Can I get all family assistance payments?|My sources say no
Do I have the right to be offered a suitable alternative job?|Reply hazy, try again
Can I claim Jobseeker’s Allowance?|Ask again later
Can I ask for mandatory reconsideration now?|Outlook not so good
Do I have authority to view current and historical claims for the nominated service?|Signs point to yes
Is it possible that I may have to pay UK tax on overseas property?|Without a doubt
Will there will be any change to my rights and status?|You may rely on it
Can I complain about this?|Most likely
Will the payments be passed on to my Business?|Without a doubt
Is our institution eligible?|Yes – definitely
Could I be able to increase my new State Pension?|Without a doubt
Can I get full relief for this period?|Outlook not so good
Can I stop paying Class 1 National Insurance?|Yes
Can the Farm Service Agency help me?|Don’t count on it
Do I need to pay tax on my income?|Ask again later
Do I have to pay Capital Gains Tax when I sell a property?|Cannot predict now
Am I eligible for a higher rate of ABSTUDY?|It is decidedly so
Can I register for VAT?|Signs point to yes
Am I eligible for Head Start and Early Head Start?|Reply hazy, try again
Is this a legal noncommerical airport?|Outlook not so good
Can I claim this benefit?|My sources say no
Can my employer take this as my resignation?|Outlook not so good
Can I stop paying Class 2 National Insurance?|Yes
Will I still get bereavement benefits?|Outlook not so good
Do I need to ask for mandatory reconsideration?|My reply is no
May I be able to get Working Tax Credit?|Very doubtful
Will I have to reduce the amount of Age pension I get?|You may rely on it
Is AMA available in my state?|Better not tell you now
Have I been contracted out?|Reply hazy, try again
Can I claim benefits for carers and people with disabilities?|Reply hazy, try again
Do I need to sign up for the VAT MOSS service?|Without a doubt
Can I send the application now?|It is certain
Can I get someone else's letters online?|Very doubtful
Can I get a get a Personal Allowance of tax-free income?|Better not tell you now
Is the B&I guaranteed loan program for me?|Yes – definitely
Can I access my secure web mailbox?|Better not tell you now
Can I claim Disability Living Allowance mobility component?|Outlook good
Can I use bursary to pay for this?|Ask again later
Will deductions stop?|As I see it, yes
Is marijuana illegal for me?|Yes – definitely
Do I have to pay back the loan now?|Better not tell you now
Can the VA reimburse my travel to and from the doctor?|You may rely on it
Can I apply for a NASH PKI certificate?|Most likely
Will my loan be approved?|My sources say no
Am I eligible for a payment?|Yes – definitely
Can I be classed as a worker?|Better not tell you now
Can I be on motorways or slip roads?|Don’t count on it
Is the fishermen's contingency fund suitable for me?|Yes
Can I apply to a discretionary bursary?|Most likely
Does the certificate expire?|Yes – definitely
Am I eligible for unemployment benefits?|Very doubtful
Do I pay tax on rent I get from a lodger?|My sources say no
Can I claim back National Insurance?|Don’t count on it
Can I use online claiming?|Most likely
Can government programs helpme find an affordable rental housing?|Outlook not so good
Can I claim?|Reply hazy, try again
Am I eligible for unemployment benefits in this period?|Without a doubt
Do I need to tell you about social security agreements with other countries?|My reply is no
Can my pharmacy dispense and claim HSDs?|Very doubtful
Will my application be sent to the Reviewing Committee?|Without a doubt
Do I need to use form 64-8 to get authorisation?|Better not tell you now
Is this eligible rent?|You may rely on it
Can I set a target amount?|Most likely
Do I pay tax on this dividends?|It is certain
Can I start biling?|It is decidedly so
Should I file for EAD renewal?|Better not tell you now
Do I need this supporting document?|Better not tell you now
Can I pass the fee on to my customer?|Concentrate and ask again
Do I need to make a claim?|Most likely
Do I need to apply for Universal Credit?|Very doubtful
Does my child need to ride in a federally approved car seat or booster?|Don’t count on it
Do I need to include this if I write?|Concentrate and ask again
May I still qualify for tax credits?|Don’t count on it
Are these loans suitable for me?|Without a doubt
Can I get fined up to £300?|Reply hazy, try again
Can I get the basic State Pension?|Ask again later
Can I decrease a deduction?|Reply hazy, try again
Can I contract out of the Additional State Pension?|Outlook good
Could I inherit part of or all of my partner’s extra State Pension?|Without a doubt
Do I need to order a claim form?|Without a doubt
Can I get credits?|As I see it, yes
Can I ask the Upper Tribunal (Administrative Appeals Chamber) for permission to appeal?|You may rely on it
Can I apply through my local council?|Concentrate and ask again
Can I suspend a deduction?|Most likely
Do I have level 8 authority?|Yes – definitely
Can Tax Credit Office ask me to provide business records?|It is decidedly so
Will I need multiple Medicare provider numbers?|My reply is no
Am I qualified for this program?|Without a doubt
Can I enroll?|Yes
Do I need to contact the DWP Debt Management contact centre?|Signs point to yes
Will I become a resident again if I visit the UK?|Without a doubt
Can I appea the decision?|My sources say no
Can I send my appeal now?|My sources say no
Do I need to take this as evidence?|Better not tell you now
Will I be provided with an interpreter?|Most likely
Does the SBA disaster assistance meet my needs?|My reply is no
Do I have authority to view a care recipient profile?|Concentrate and ask again
Can I search by Unique ID?|Most likely
Can I claim tax credits?|My sources say no
